idx,y_pred
39,0.4317247
41,0.5613888
43,0.68438494
45,0.46498096
55,0.60801667
56,0.5694475
73,0.32443836
85,0.5073031
86,0.5678918
97,0.6087487
98,0.52259874
101,0.5792446
112,0.44028974
117,0.72768265
121,0.78021324
137,0.20243154
148,0.52297467
154,0.36588946
162,0.45733
165,0.47928527
174,0.5617709
176,0.4319931
181,0.52393055
184,0.4241229
199,0.37301266
206,0.7185192
216,0.37098348
221,0.5033911
226,0.21021281
227,0.70989907
230,0.28810522
234,0.19458887
256,0.54246473
260,0.7265187
269,0.52503675
282,0.17585804
286,0.5431909
300,0.36978173
304,0.65732723
310,0.5489653
318,0.34847146
319,0.48078072
322,0.55491894
329,0.48368272
332,0.33307076
342,0.6379212
364,0.47232684
377,0.2465228
385,0.4638461
388,0.35595864
397,0.29174784
398,0.21401708
403,0.5014385
405,0.6136584
408,0.21183208
410,0.6829568
413,0.21457502
417,0.4254474
420,0.5593189
422,0.3828407
423,0.3255255
426,0.38625297
432,0.532211
436,0.62450385
443,0.3741506
454,0.44971907
455,0.21168911
461,0.48140582
467,0.34444585
468,0.5249692
474,0.52332884
477,0.44491336
478,0.26942936
486,0.45818886
489,0.6284893
490,0.5965491
495,0.5370238
499,0.67453027
510,0.5176981
511,0.5687394
515,0.26584056
518,0.6436102
519,0.5892754
533,0.34882906
548,0.3545165
564,0.5129209
582,0.49420232
584,0.45140952
592,0.5868084
593,0.38944146
595,0.18626282
596,0.6250742
598,0.8426458
600,0.5117663
605,0.3811035
609,0.43598112
611,0.47343796
613,0.49866053
623,0.43670598
626,0.34205523
627,0.720817
631,0.59945285
644,0.48185566
652,0.5694017
662,0.44949824
666,0.37457097
668,0.6363839
672,0.27559358
674,0.57672226
675,0.06585731
677,0.56726575
679,0.27784744
682,0.6534832
691,0.6082403
698,0.5393427
702,0.13184583
711,0.42141792
714,0.5427201
716,0.5735847
717,0.30074057
718,0.35587516
722,0.074930176
735,0.4425697
738,0.49418497
747,0.40821826
748,0.5390688
749,0.23744796
750,0.3010705
759,0.6288763
763,0.40098846
770,0.6637319
774,0.34918413
790,0.3387622
792,0.34244907
795,0.21778166
797,0.28456426
804,0.5952564
809,0.3891885
813,0.70324165
821,0.54020107
831,0.38226566
844,0.20237987
846,0.85892916
850,0.2462306
853,0.34536013
856,0.46017942
862,0.56489587
869,0.39736035
874,0.43809834
881,0.5894404
882,0.2995876
891,0.3940817
897,0.6535235
906,0.36285767
911,0.22289541
918,0.49878708
920,0.367813
922,0.49466756
923,0.6367831
938,0.34878868
942,0.56896824
947,0.506906
957,0.48470604
966,0.36427543
972,0.29813582
980,0.014194655
981,0.5121693
983,0.603126
988,0.5126662
990,0.4554427
992,0.45104402
997,0.35949093
1001,0.5582826
1003,0.14369886
1024,0.35124886
1031,0.6108887
1032,0.6159775
1042,0.7244651
1043,0.5115889
1044,0.3084011
1050,0.5053571
1052,0.24314784
1053,0.28834972
1056,0.45272478
1072,0.33886546
1077,0.6160585
1078,0.43778872
1083,0.13221309
1088,0.30465183
1093,0.764978
1099,0.57029307
1106,0.33111238
1109,0.0856582
1110,0.5279183
1113,0.46245372
1121,0.45104524
1125,0.20096156
1132,0.5519107
1136,0.14081506
1139,0.4268571
1140,0.45180646
1155,0.54832584
1156,0.289198
1171,0.33379298
1174,0.5601028
1175,0.5441102
1178,0.60136694
1181,0.3509648
1203,0.4560266
1205,0.52940935
1216,0.7111162
1217,0.58015984
1227,0.4038249
1230,0.79403055
1233,0.54408413
1234,0.32425386
1237,0.38854992
1245,0.5554402
1260,0.30834597
1265,0.34277928
1268,0.28639692
1272,0.38724357
1276,0.579339
1277,0.30462965
1287,0.49285716
1291,0.358318
1302,0.34282413
1307,0.11494931
1308,0.387991
1322,0.6054055
1325,0.5453418
1326,0.42141002
1327,0.5331802
1334,0.3109792
1340,0.21574143
1344,0.4986128
1347,0.30265024
1349,0.58601224
1353,0.17487755
1356,0.37354177
1357,0.2890524
1358,0.62026244
1359,0.40557933
1366,0.2658348
1367,0.6759331
1368,0.60097176
1371,0.4327188
1376,0.43257585
1377,0.43354148
1380,0.35819334
1389,0.3477935
1397,0.82222515
1398,0.58217186
1406,0.46419156
1412,0.5050524
1416,0.41397333
1426,0.50081706
1436,0.6707954
1440,0.36071452
1447,0.51609236
1448,0.34866273
1478,0.33828032
1480,0.6243936
1486,0.51055115
1506,0.5202484
1509,0.598847
1515,0.567715
1516,0.33359516
1521,0.29005694
1533,0.5340118
1547,0.40766767
1551,0.4614366
1552,0.44056052
1565,0.6676918
1568,0.8049817
1570,0.42106557
1576,0.51873153
1577,0.54890454
1583,0.36495227
1585,0.27052665
1592,0.4128851
1604,0.59628385
1612,0.44933134
1614,0.5748352
1619,0.2205479
1630,0.57656366
1653,0.49905095
1669,0.34881613
1676,0.47377998
1680,0.53272057
1686,0.24329796
1687,0.45344436
1688,0.5549165
1704,0.19159506
1714,0.48050982
1717,0.63224214
1719,0.5532236
1721,0.67997026
1726,0.28884938
1729,0.5478778
1731,0.1807602
1732,0.553683
1758,0.37485307
1760,0.73473763
1761,0.61993825
1762,0.4273537
1767,0.50244874
1771,0.5608341
1778,0.7660244
1784,0.6822083
1790,0.50989807
1797,0.3311424
1798,0.6856408
1800,0.3523931
1802,0.71131015
1806,0.61897933
1819,0.08548743
1820,0.505323
1821,0.26218376
1825,0.35805407
1829,0.40679008
1834,0.3499144
1840,0.52584344
1861,0.4428384
1880,0.21685274
1888,0.41292801
1901,0.61562926
1902,0.41857642
1911,0.55745345
1920,0.40806687
1926,0.4817929
1943,0.57275
1949,0.2835234
1959,0.5692086
1970,0.15306215
1974,0.14269675
1978,0.4016897
1984,0.588209
1997,0.37786382
2005,0.3646297
2007,0.6531768
2011,0.48433346
2012,0.40504247
2013,0.56080824
2024,0.17188914
2026,0.6092945
2029,0.5323436
2040,0.5326902
2042,0.21687639
2046,0.55148715
2052,0.26168025
2055,0.5717763
2062,0.12493609
2065,0.27814397
2089,0.36547038
2095,0.8174821
2100,0.15875773
2101,0.52287525
2102,0.37604132
2104,0.65616083
2108,0.30555922
2115,0.35558203
2124,0.5743205
2125,0.21434397
2128,0.3491769
2148,0.4200742
2153,0.3585742
2154,0.3101865
2162,0.37948272
2165,0.45788774
2169,0.35336182
2176,0.16955556
2186,0.6776536
2190,0.5275119
2193,0.49140364
2199,0.5365424
2207,0.60147595
2208,0.42343903
2231,0.72209746
2238,0.60098004
2241,0.6408181
2248,0.53124684
2250,0.30250153
2260,0.3522773
2271,0.5131096
2277,0.5437917
2282,0.6884027
2293,0.35971266
2301,0.443924
2313,0.32084027
2334,0.28713718
2341,0.20619512
2345,0.21917687
2349,0.5845909
2352,0.56940186
2360,0.6279083
2368,0.5750713
2381,0.50951046
2386,0.50460726
2393,0.6597499
2398,0.5527699
2410,0.3648163
2411,0.41835573
2416,0.3262261
2418,0.5131361
2427,0.45033568
2428,0.50150025
2445,0.3318595
2456,0.55089086
2473,0.5546258
2485,0.6175461
2488,0.779643
2492,0.53857595
2494,0.3749128
2499,0.4501569
2504,0.5071795
2506,0.4679513
2509,0.5797091
2516,0.5083276
2523,0.24888721
2527,0.3981336
2538,0.48981494
2551,0.6841021
2564,0.39585736
2567,0.45823932
2589,0.47762305
2609,0.61873794
2614,0.50927144
2623,0.4755466
2625,0.24224564
2635,0.20755735
2640,0.7167913
2641,0.611739
2648,0.4808935
2652,0.42476705
2658,0.57688737
2664,0.43206218
2670,0.08513653
2676,0.6638333
2678,0.5142598
2689,0.46241465
2699,0.47782892
2702,0.09994055
2713,0.66749847
2715,0.2315218
2722,0.6689075
2724,0.33315143
2728,0.43109465
2729,0.6426816
2735,0.3156139
2744,0.55278885
2762,0.6598191
2765,0.20108399
2770,0.76892054
2772,0.22660702
2775,0.37573007
2787,0.337062
2804,0.56142044
2807,0.6057209
2819,0.41470763
2857,0.44002932
2876,0.5449792
2882,0.6129785
2885,0.5648394
2888,0.44983748
2890,0.5277238
2891,0.3466496
2897,0.4898359
2900,0.38432762
2910,0.48831597
2914,0.393755
2941,0.3753632
2965,0.4513739
2966,0.6429331
2970,0.56095284
2978,0.622799
2982,0.621941
2990,0.66813695
2994,0.4555926
2999,0.44810355
3002,0.53199595
3008,0.45674944
3012,0.37744454
3015,0.25864792
3018,0.48770863
3036,0.47374943
3042,0.2834967
3043,0.48502252
3056,0.30707708
3059,0.5983146
3065,0.30634576
3069,0.7763479
3075,0.29830733
3076,0.43369216
3083,0.2630287
3086,0.6510109
3088,0.6076154
3098,0.44099748
3099,0.35711333
3107,0.38337448
3114,0.49992156
3118,0.56225413
3120,0.4323071
3121,0.43528387
3128,0.5169433
3147,0.4051873
3151,0.57040745
3154,0.09772555
